date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
2004-05-28,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-31,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-06-01,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-02,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-03,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-04,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-07,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-08,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-09,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-10,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-11,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-14,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-15,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-16,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-17,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
2004-06-18,100.6365,100.6048,99.7207,101.0004,101.0399,98.6825,100.965,99.9215,98.7478,99.8701,100.9591,99.7615,102.9408,102.1309,101.219,111.9093,112.4906,92.0369,114.0993,110.3,105.0364,87.461,0.1764,101.3312,100.4552,101.8601,101.1906,101.478,101.1178,100.4945,100.3224,100.5688,101.2122,100.7519,101.649,100.5783,100.0148,100.7941,100.678,100.3646,100.6585,99.4339,100.671,99.6478,100.6814,100.6294
